name,url,sku,gtin13,price,currency,availability,description,brand,breadcrumbs,images,avg_rating,reviews_count,pack_size,ingredients,storage_details,product_origin,percentage_alcohol,serving_size,nutrition,uniq_id,scraped_at
Birds Eye Crispy Pancakes Beef & Onion 4 Pack 266G,https://www.tesco.com/groceries/en-GB/products/305829059,305829059,05000116125234,2.2,GBP,OutOfStock,"Pancakes coated in breadcrumbs with a minced beef and onion filling, lightly fried. For a sustainable tomorrow. Making a difference with responsibly sourced and prepared food everyday. birdseye.co.uk/our-sustainable-path. The new & tasty,Ready in 10 mins",BIRDS EYE,Frozen Food~Frozen Ready Meals~Frozen Snacking,https://digitalcontent.api.tesco.com/v2/media/ghs/3e55410b-419d-4b54-a446-a54282fd37ec/15b37da6-6399-4dd8-8a6d-ac1358fcc282.jpeg,1.5,23,Pack size: 266G,"Filling (42%) (Water, Minced Beef (20%), Fried Onion (17%) (Onion, Rapeseed Oil), Beef Stock (Beef Stock, Sugar, Concentrated Carrot Juice, Onion Concentrate, Tomato Paste), Wheat Starch, Sunflower Oil, Onion, Tomato Purée, Carrot, Skimmed Milk Powder, Wheat Flour, Salt, Black Pepper, Rosemary Extract, Bay Leaf), Wheat Flour, Water, Sunflower Oil, Breadcrumbs (Wheat Flour, Salt, Yeast, Paprika Powder, Turmeric), Pasteurised Whole Egg, Skimmed Milk Powder, Wheat Starch, Salt, Concentrated Lemon Juice",Store in a freezer at -18°C or cooler.,,,This pack contains 4 portions,"[{'Energy - kJ': '1145kJ'}, {' - kcal': '274kcal'}, {'Fat ': '15g'}, {'- of which Saturates ': '2.0g'}, {'Carbohydrate ': '26g'}, {'- of which Sugars ': '3.0g'}, {'Fibre ': '1.1g'}, {'Protein ': '8.2g'}, {'Salt ': '0.72g'}, {'This pack contains 4 portions': '-'}]",9295ea70-cba4-520f-af19-e16b23066921,12/19/22
Unicorn & Dino Storybooks 4 Pack,https://www.tesco.com/groceries/en-GB/products/311932942,311932942,09781803683058,1.5,GBP,InStock,UNICORN & DINO STORYBOOKS 4PK ,IGLOO,Home & Ents~Party & Giftwrap~Party Bags & Loot Bags,https://digitalcontent.api.tesco.com/v2/media/ghs/5deb22d1-7cc7-4cb9-9002-1fd6ea203059/93ed96a1-f2ac-4bcf-8803-ebdbb43b8373_674482878.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/7c73465f-6d0f-4c35-936c-f543ce225de7/4b10e0bb-6dfb-44ab-b202-b42029d271e6_1829689848.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/3b95ac17-322e-4036-a27d-f94480935882/eb94bc0c-b17e-4c9d-b539-391dce5e6595_1851344427.jpeg,,,,,,,,,[],7c283545-26d5-55ee-878e-bf520fd90b58,12/19/22
Schwartz Fish Seasoning 55G,https://www.tesco.com/groceries/en-GB/products/257522449,257522449,00000050020881,1.85,GBP,InStock,Schwartz Fish Seasoning 55G. For recipes and cooking suggestions visit: www.schwartz.co.uk,SCHWARTZ,"Food Cupboard~Cooking Ingredients~Seasoning, Herbs & Spices",https://digitalcontent.api.tesco.com/v2/media/ghs/9c024dec-99a1-4dd0-aadb-f0d13b96c248/801f35a2-4b13-4e30-baf0-af589425c55a_1034377439.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/0005de38-023a-433f-9406-730b1b8c8de3/bef7577f-12aa-4726-ab1e-4d65de290939_531359003.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/3b14d6b5-55aa-4b66-8858-c58c12de8b47/9f120736-a468-4415-8410-904f6d8e3dd4_230102925.jpeg,5,5,Pack size: 55G,"Dried Onion, Sea Salt, Sugar, Maltodextrin, Flavouring (contains Barley, Wheat), Parsley (6%), Dried Lemon Peel (5%), Dried Orange Peel, Acid (Citric Acid), Dill Seed, Dried Lemon Juice Concentrate (2%), Black Pepper, Dill (2%), Sunflower Oil, Anti-caking Agent (Silicon Dioxide)","Store in a cool, dry place out of direct sunlight.",Produced in the EU,,,"[{'Energy': '1067kJ/253kcal'}, {'Fat - Total': '3.0g'}, {'Fat - Saturated': '0.4g'}, {'Carbohydrate': '46.5g'}, {'- Sugars': '24.8g'}, {'Protein': '6.0g'}, {'Salt': '22.01g'}]",fb250b33-8b77-593b-95a2-e51bde919be7,12/19/22
Hearty Food Co Mac 'N' Cheese 400G,https://www.tesco.com/groceries/en-GB/products/299555755,299555755,05057545678336,0.75,GBP,InStock,Cheese sauce with cooked macaroni pasta topped with red Cheddar cheese.,HEARTY FOOD CO.,Frozen Food~Frozen Ready Meals~Frozen Italian & Mediterranean Ready Meals,https://digitalcontent.api.tesco.com/v2/media/ghs/40ceddbc-46b8-418e-8dbd-516477df6a3f/438f9241-7504-4d0f-827c-db1f85a454d5.jpeg,3.3,57,Pack size: 400G,,"Keep Frozen at -18°C or cooler.    Important:If food has thawed, do not refreeze.
    ",,,1 Servings,"[{'Energy': '511kJ / 121kcal'}, {'Fat': '2.7g'}, {'Saturates': '1.5g'}, {'Carbohydrate': '19.3g'}, {'Sugars': '1.0g'}, {'Fibre': '1.1g'}, {'Protein': '4.4g'}, {'Salt': '0.62g'}, {'* Reference intake of an average adult (8400 kJ / 2000 kcal)': '-'}, {'** When microwaved according to instructions 400g typically weighs 392g.': '-'}, {'When microwaved according to instructions.': '-'}]",7b233e41-e3c8-5ec1-81c3-5311cdb07392,12/19/22
Tesco Dijon Mustard 185G,https://www.tesco.com/groceries/en-GB/products/260691710,260691710,05051140474201,0.65,GBP,InStock,Dijon mustard.,TESCO,"Food Cupboard~Table Sauces, Olives, Pickles & Chutney~Mustard",https://digitalcontent.api.tesco.com/v2/media/ghs/2f40e46b-e9f7-45cb-b632-61994e01bc28/a4cd1ab1-8338-4a37-9ecc-a81cd0795277_284196255.jpeg,3.5,30,Pack size: 185G,,"Store in a cool, dry place. Once opened, keep refrigerated and consume within 8 weeks and by date shown.    ",Made using Non-EU mustard seeds.,,37 Servings,"[{'Energy': '530kJ / 128kcal'}, {'Fat': '9.2g'}, {'Saturates': '0.7g'}, {'Carbohydrate': '3.7g'}, {'Sugars': '2.3g'}, {'Fibre': '2.7g'}, {'Protein': '6.2g'}, {'Salt': '6.2g'}, {'* Reference intake of an average adult (8400 kJ / 2000 kcal)': '-'}, {'As sold': '-'}]",df982b9a-98dc-5037-9a68-609722d73456,12/19/22
Disaronno Amaretto 50Cl,https://www.tesco.com/groceries/en-GB/products/255250290,255250290,08001110016372,16.5,GBP,InStock,"Disaronno Amaretto 50Cl. For great cocktail ideas, visit: www.disaronno.com. The World's Favourite Italian Liqueur",DISARONNO,"Drinks~Spirits~Tequila, Liqueurs & Aperitifs",https://digitalcontent.api.tesco.com/v2/media/ghs/333feea2-67f0-4d3c-b2ea-7bbe19afc0be/9a3a33aa-b10b-40c9-9601-507eeef5a1ca.jpeg,5,6,Pack size: 50CL,,,Distributed in the UK,28% vol,,[],7db8f00a-9db4-55c2-bd94-bbdce59114ee,12/19/22
Little Life Buggy Blackout,https://www.tesco.com/groceries/en-GB/products/299960380,299960380,05031863162203,14,GBP,InStock,"Little Life Buggy Blackout. A universal fit buggy blackout cover designed for most strollers, pushchairs & buggies with a double door opening,Protects from the sun's UV rays and also protects from flying insects whilst allowing air circulation with a double-layer air-permeable mesh,Designed for most strollers, pushchairs & buggies to protect from the sun (blocks 99% of UV rays)",LITTLE LIFE,Baby~Toys & Nursery Accessories~Baby & Toddler Travel Accessories,https://digitalcontent.api.tesco.com/v2/media/ghs/c7cb70f6-faaf-4495-9459-fddad1dd27d2/91359716-2605-44c6-9cea-beb52a6670e1_561989845.jpeg,5,1,,,,,,,[],edc76d29-f016-5f1b-b129-199cb3f62a31,12/19/22
Crusha Limited Edition Milk Shake Mix Lime Flavoured 500Ml,https://www.tesco.com/groceries/en-GB/products/308462937,308462937,05010067310054,2,GBP,InStock,"Lime flavour milkshake mix with sweeteners. No Artificial Colours or Flavours,No Added Sugar,Suitable for vegetarians",CRUSHA,Drinks~Milkshake~Milkshake Mix,https://digitalcontent.api.tesco.com/v2/media/ghs/5fa3dad1-4483-40c6-9a5e-1e1c4618c562/818309b4-2a94-4078-b83c-a8fcc4a95953_618273382.jpeg,3,9,Pack size: 500ML,"Water, Lime Juice Concentrate, Flavouring, Acid (Citric Acid), Colours (Mixed Carotenes, Copper Chlorophyll), Preservative (Potassium Sorbate), Acidity Regulator (Tri Sodium Citrate), Sweeteners (Sucralose, Acesulfame-K)",Best Before End: See CapOnce opened keep me in the fridge and use within 1 month,,,,"[{'Energy - kJ': '27kJ'}, {'- kcal (Calories)': '6kcal'}, {'Fat': '0.5g'}, {'of which saturates': '0g'}, {'Carbohydrate': '0.4g'}, {'of which sugars': '0.2g'}, {'Protein': '0g'}, {'Salt': '0.10g'}]",255f8a4b-bdd3-5903-b893-92b9b86143da,12/19/22
Bisto Onion Gravy Granules 190G,https://www.tesco.com/groceries/en-GB/products/309493789,309493789,05000354919565,2,GBP,InStock,"Onion Gravy Granules. Bisto Onion Gravy Granules,The nation's favourite,Low in fat and sugar,Suitable for vegetarians and vegans,Easy to make in minutes – just add water",BISTO,"Food Cupboard~Cooking Ingredients~Gravy, Stuffing & Breadcrumbs",https://digitalcontent.api.tesco.com/v2/media/ghs/37c1df4f-97c6-4fd8-aea3-b50f941552bd/ee0b036c-5514-4897-b604-8121162df93d_307059837.jpeg,4.7,7,Pack size: 190G,"Potato Starch, Maltodextrin, Palm Fat, Salt, Onion Powder (5%), Flavourings (contain Wheat), Wheat Flour (with added Calcium, Iron, Niacin, Thiamin), Colour (Ammonia Caramel), Sugar, Dried Onion (1%), Flavour Enhancers (Monosodium Glutamate, Disodium 5'-Ribonucleotides), Garlic Powder, Emulsifier (Soya Lecithin), Black Pepper Extract, Rosemary Extract",Best before end see base of drumStore in a cool dry place away from direct heat and sunlight.,,,This pack makes approximately 57 portions,"[{'Energy (kJ/(kcal)': '1658kJ'}, {'-': '395kcal'}, {'Fat': '15.4g'}, {'of which Saturates': '10.9g'}, {'Carbohydrate': '59.3g'}, {'of which Sugars': '16.9g'}, {'Fibre': '3.2g'}, {'Protein': '3.2g'}, {'Salt': '11.58g'}, {'This pack makes approximately 57 portions': '-'}]",8ea6a995-9f24-5fdd-9713-75a8a467b63c,12/19/22
Tesco Finest Wholemeal Seeds And Grains Bread 800G,https://www.tesco.com/groceries/en-GB/products/305737088,305737088,05057753893958,1.3,GBP,InStock,Sliced wholemeal bread with mixed seeds and grains.,TESCO FINEST,Bakery~Bread & Rolls~Seeded Bread,https://digitalcontent.api.tesco.com/v2/media/ghs/8f2ae742-2685-44e4-b257-7cbee1b0e862/b2991f2d-ac46-4974-901c-85168f276e20.jpeg,3.4,45,Pack size: 800G,,"Once defrosted, do not refreeze. 
Suitable for home freezing. Ideally freeze as soon as possible after purchase but always by date shown. 
Product will stay at its best if pack is resealed between uses and not kept in the fridge. 
Store in a cool dry place. 
",,,18 Servings,"[{'Energy': '1071kJ / 254kcal'}, {'Fat': '5.0g'}, {'Saturates': '0.9g'}, {'Carbohydrate': '37.4g'}, {'Sugars': '2.7g'}, {'Fibre': '6.4g'}, {'Protein': '11.7g'}, {'Salt': '0.98g'}, {'* Reference intake of an average adult (8400 kJ / 2000 kcal)': '-'}, {'As sold': '-'}]",4dbaff18-7cda-56f5-91e8-f6b65bda54fd,12/19/22
Nature's Choice Lamb Dry Dog Food 2Kg,https://www.tesco.com/groceries/en-GB/products/308103217,308103217,05059512729065,3,GBP,OutOfStock,A complete pet food for adult dogs.,TESCO PET,Pets~Dog Food & Accessories~Natural & Grain Free Dog Food,https://digitalcontent.api.tesco.com/v2/media/ghs/54e0e381-3d3c-42bd-895f-21f63c79c24e/49ac0cb6-4141-4641-84be-017138343846_200629868.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/e2523c1a-0524-4db5-b052-5af29a5a40f1/ae881094-ca6c-4a04-acbd-c0c3705e27fc_752900327.jpeg,4,4,Pack size: 2KG,"INGREDIENTS: Maize, Barley, Lamb Meal (14%), Meat Meal, Poultry Fat, Sugar Beet Pulp, Digest, Linseed, Vitamins & Minerals(Sodium Chloride, Calcium Carbonate, Mannan Oligosaccharides, Fructo-Oligosaccharides, Choline Chloride, Vitamin E, Ferrous Sulphate, Tocopherol-Rich Extract, Vitamin C, Yucca Cane, Cranberry Extract, Chamomile, Rosemary Extract, Turmeric, Parsley, Manganese, Zinc Oxide, Copper Sulphate, Vitamin B12, Nicotinic Acid, Calcium D-Pantothenate, Biotin, Vitamin B2, Sodium Selenite, Calcium Iodate, Vitamin D3, Vitamin A, Vitamin B6, Vitamin K3, Folic Acid, Vitamin B1).",Store in a cool dry place. ,Produced in the U.K.,,Servings,[],60231b4c-27b5-53ee-b237-80efb59c6b0c,12/19/22
Dove 3In1 Beauty Cream Bar 2X90g,https://www.tesco.com/groceries/en-GB/products/311264010,311264010,08720181218279,1.15,GBP,InStock,"Dove 3In1 Beauty Cream Bar 2X90g. Dove Original Beauty Bar has a gentle cleansing formula that effectively cleans hands whilst helping to retain skin moisture,A moisturising beauty bar that leaves skin softer, smoother and healthier looking,Dove Original with ¼ moisturising cream doesn’t dry out your skin like ordinary bar soap and is suitable for all skin types,Mild cleansers and rich moisturisers in this beauty bar help protect your skin’s natural balance,Dove Original Beauty Bar is sulphate SLES free and kind to your skin,Dermatologically tested beauty bar that’s suitable for daily use on the face, body and hands",DOVE,"Health & Beauty~Shower, Bath & Hand Hygiene~Handwash",https://digitalcontent.api.tesco.com/v2/media/ghs/440eeb49-cea2-4bab-babd-3d688b795709/9001ef38-1862-450d-b692-797e8a0c025f_527938748.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/a9b2aec5-0a23-4bcc-b183-862a839c2a01/1eebf40e-cbce-41aa-9745-9299adde0eb2_1801372974.jpeg,4.5,120,Pack size: 180G,"Sodium Lauroyl Isethionate, Stearic Acid, Sodium Palmitate, Lauric Acid, Aqua, Sodium Isethionate, Sodium Stearate, Cocamidopropyl Betaine, Sodium Palm Kernelate, Glycerin, Parfum, Sodium chloride, Zinc Oxide, Tetrasodium EDTA, Tetrasodium Etidronate, Alumina, Alpha-Isomethyl Ionone, Benzyl alcohol, Butylphenyl Methylpropional, Citronellol, Coumarin, Hexyl Cinnamal, Limonene, Linalool, CI 77891",,Germany,,,[],44a8e42e-4e33-5068-b545-d4ed1e9174ab,12/19/22
Method Wild Rhubarb All Floor Cleaner 739Ml,https://www.tesco.com/groceries/en-GB/products/302801316,302801316,00817939019849,4.5,GBP,InStock,"Method Wild Rhubarb All Floor Cleaner 739Ml. Squirt + mop,Surface safe,Non-toxic,Plant-based",METHOD,Household~Cleaning~Floor & Carpet Cleaner,https://digitalcontent.api.tesco.com/v2/media/ghs/b7c08b76-bf34-4140-8994-d628db7665e1/4135f57a-1184-45a7-bd21-98ca535854d0_388786275.jpeg,4.6,42,Pack size: 739ML,"<5% Non-Ionic Surfactants*, Anionic Surfactants*, Perfume (Citronellol*, Linalool), Methylisothiazolinone, Benzisothiazolinone, Phenoxyethanol, Other: Water, Alcohol Denat.*, Methoxysopropanol, Sodium Citrate*, Citric Acid, Colorant, *Denotes Plant or Mineral origin",,Made in EU,,,[],6ee79dc9-64d0-5f31-a5f0-47db196d88aa,12/19/22
Athletic Brewing Co. Run Wild Alcohol Free Ipa 4X355ml,https://www.tesco.com/groceries/en-GB/products/312848087,312848087,00855352008927,6,GBP,InStock,"Ahltic Brwng Co Run Wild Alc Free IPA 4x355ml . Alcohol-Free Brew,Contains 65 kcal / can,Suitable for Vegans",AHLTIC BRWNG CO,Drinks~Beer & Cider~Alcohol Free & Low Alcohol Beer & Cider,https://digitalcontent.api.tesco.com/v2/media/ghs/4866b1c2-d5b3-455c-ad3f-2bddd5405320/748d3f8c-f5a3-4143-8f8f-6083c186fbd2_169078336.jpeg,,,Pack size: 1420ML,"Water, Malted Barley, Oats, Hops, Wheat, Yeast",,,,Each can contains 1 serving,"[{'Energy': '71kJ'}, {'-': '17kcal'}, {'Fat': '0g'}, {'of which saturates': '0g'}, {'Carbohydrate': '3.9g'}, {'of which sugar': '1.8g'}, {'Fibre': '0g'}, {'Protein': '0g'}, {'Salt': '0g'}, {'Each can contains 1 serving': '-'}]",3a1f61da-e1f4-58ad-ae21-b8e349984f77,12/19/22
St Moriz Advanced Colour Correct Self-Tanning Dark 200Ml,https://www.tesco.com/groceries/en-GB/products/308845427,308845427,05060427357373,10,GBP,InStock,"ST MORIZ ADV COLR CORRECT S/TAN DARK 200ML . With Purple Undertones to Neutralise Yellow Tones,Insta-Grad Instant Colour & a Long Lasting Tan,Hyaluronic Acid & Vitamin B5,Dermatologically Tested,Cruelty Free International,The Queen's Awards for Enterprise,Vegan Friendly",St. Moriz,Health & Beauty~Body Skincare~Fake Tan,https://digitalcontent.api.tesco.com/v2/media/ghs/cc519a81-6239-400a-8451-570503d04363/5a0a08ad-70fb-4f8b-a3e2-02bc3a1898ba_830978490.jpeg,1,1,Pack size: 200ML,"Aqua (Water), Dihydroxyacetone, Caprylyl/Capryl Glucoside, Propylene Glycol, Dimethyl Isosorbide, Phenoxyethanol, Polysorbate 20, Parfum (Fragrance), Sodium Metabisulfite, Ethylhexylglycerin, Panthenol, Biosaccharide Gum-1, Coumarin, Sodium Hyaluronate, CI 16035 (Red 40), CI 19140 (Yellow 5), CI 17200 (Red 33), CI 42090 (Blue 1)","Wipe the nozzle and bottle clean before storing away in a cool place, out of direct sunlight.",Made in England,,,[],bfc516c5-a4f6-5de9-a062-c6580e2b6680,12/19/22
Splenda Low Calorie Sweetener Granulated 125G,https://www.tesco.com/groceries/en-GB/products/261149488,261149488,00722776000311,3,GBP,InStock,"Sucralose-based table-top sweetener. For more great recipes and tips on baking and cooking with Splenda® Products, visit www.splenda.co.uk. Visit www.splenda.co.uk/recipes for hundreds of delicious recipes. Low Calorie Sweetener,Tastes Like Sugar!,Only 2 Calories Per Serving,Dissolves in Drinks,Measures spoon for spoon,Great for Baking,No Aspartame,Suitable for Vegetarians and Vegans",SPLENDA,Food Cupboard~Home Baking & Sugar~Sweeteners & Sugar Substitutes,https://digitalcontent.api.tesco.com/v2/media/ghs/2ae97577-7114-4dc0-a533-0ed75ad5524e/91dc4f48-190c-42f8-bada-8d37358abca1_2057970549.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/3f810e46-107b-46d3-9e69-70a0a12f3888/f60dacdc-15ae-4a4d-b032-6a3538962016_1675141602.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/21d4e9b3-292b-453f-8d5a-d6f7c611690d/d6325e4f-e61c-4733-8581-26848db64f81_501765091.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/ee0d02db-813d-418f-a7c3-6eda7767237a/3b7130c5-3b0c-461b-95a3-93e61109ca7b_663137644.jpeg,4.7,6,Pack size: 125G,"Maltodextrin, Sweetener (Sucralose 1%)","For the perfect spoonful every time, keep in a cool dry place with the lid closed.Best before end: see back of pack.",,,,"[{'Energy': '8.4 kJ/'}, {'-': '2.0 kcal'}, {'Fat': '0g'}, {'of which saturates': '0g'}, {'Carbohydrate': '0.5g'}, {'of which sugars': '0g'}, {'Fibre': '0g'}, {'Protein': '0g'}, {'Salt': '0g'}]",c7bcaea8-a378-5d53-b661-021f5b225df8,12/19/22
Bayswood Artificial Snake Plant,https://www.tesco.com/groceries/en-GB/products/310730261,310730261,05060743172964,16,GBP,InStock,Bayswood Artificial Snake Plant,BAYSWOOD,Home & Ents~Home Accessories~Decorative Accessories,https://digitalcontent.api.tesco.com/v2/media/ghs/d2344adc-2768-4175-9917-17b2bb1820f0/97c6e0da-291f-443f-837b-87c8dcbba616_1815995581.jpeg,5,2,,,,,,,[],b572e5f8-138d-54e3-b0ab-b4c7ab05205c,12/19/22
Youngs Gastro Cod Parmesan Parsley 2 F/Cakes 270G,https://www.tesco.com/groceries/en-GB/products/312714076,312714076,05000205049205,3.5,GBP,InStock,"Cod and Alaska Pollock Fish Cakes with Parmesan and Parsley in Breadcrumb. Responsibly sourced fish for life®. Our fish for life® programme makes sure all our fish is responsibly sourced. To see how we do the right things to conserve fish for future generations visit www.youngsseafood.co.uk. Restaurant Quality Fish,Chunky",YOUNG'S,Frozen Food~Frozen Fish & Seafood~Frozen Fish Cakes & Dippers,https://digitalcontent.api.tesco.com/v2/media/ghs/6d2c7671-4c00-4ef0-982f-df07164af2e2/553e3538-cc4c-4f60-8f18-c25e981d2737.jpeg,4,2,Pack size: 270G,"Cooked Potato, Cod (18%) (Fish), Wheat Flour [Wheat Flour, Calcium Carbonate, Iron, Niacin (B3), Thiamin (B1)], Alaska Pollock (14%) (Fish), Rapeseed Oil, Onion, Parmigiano Reggiano (3%) (Milk), Cream (Milk), Dried Potato, Water, Lemon Juice, Parsley, Wheat Starch, Salt, Maize Flour, Sea Salt, Yeast, Mustard Flour, Garlic Puree, Raising Agents: Disodium Diphosphates, Sodium Bicarbonate, Dextrose, Sunflower Oil, Yeast Extract, Wheat Gluten, White Pepper","Keep FrozenStore at -18°C or Below
Do Not Re-Freeze Once Defrosted",Made in the UK,,Pack contains 2 servings,"[{'Energy': '753kJ'}, {'-': '179kcal'}, {'Fat': '7.0g'}, {'(of which saturates)': '1.5g'}, {'Carbohydrate': '18.7g'}, {'(of which sugars)': '1.4g'}, {'Fibre': '1.0g'}, {'Protein': '9.9g'}, {'Salt': '0.7g'}, {'Pack contains 2 servings': '-'}, {'*Reference intake of an average adult (8400kJ / 2000kcal)': '-'}]",0ba1e467-a3f2-574a-a5e8-5a0ff17c0cf0,12/19/22
Joseph Joseph Grey Duo Multi Grip Mandoline,https://www.tesco.com/groceries/en-GB/products/312359968,312359968,05028420002836,10,GBP,InStock,"JOSEPH JOSEPH GREY DUO MULTI GRIP MANDOLINE . Safely and evenly slice a variety of fruit and vegetables,Precision food grip features three styles of grip: Pinch grip for small items; Centre grip for round slices; Flat grip for longer slices,Sharp stainless-steel blade",JOSEPH JOSEPH,Home & Ents~Cooking & Dining~Kitchen Utensils,https://digitalcontent.api.tesco.com/v2/media/ghs/67b8cf5f-aa04-4d1f-ac22-9087b6de4d29/61a95f2d-3bf1-4d23-909b-69b01ffa25a1_1032181186.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/c1b6f1cb-cd6c-4648-a352-80f27c3ad4ff/9ba034d7-fec1-4bd9-a651-80175cb2c412_1664902119.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/9632ddf8-35b2-47a1-a965-ee69aa0dc240/d616bbb6-d2c5-4e98-99b9-0dd849007bb2_717111275.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/74453d34-f4c2-4147-bfbb-bbaffc3f8e0f/b0063ea0-21e0-44cb-8675-b68fb877accd_1971803361.jpeg,,,,,,,,,[],e6048e51-bcc1-5da0-954e-6888336f3650,12/19/22
Harry's Shave Cream With Eucalyptus,https://www.tesco.com/groceries/en-GB/products/309163119,309163119,00855380004403,7,GBP,InStock,"Harry's Shave Cream With Eucalyptus. Cushions your shave & conditions your skin,With aloe & eucalyptus",HARRY'S,Health & Beauty~Men's Toiletries~Shaving,https://digitalcontent.api.tesco.com/v2/media/ghs/75acaa81-44fb-4193-844e-ff9d2eb849ec/2335811b-949e-4c14-a9c9-205e26863bc7_1758807207.jpeg,4.4,73,Pack size: 100ML,"Water/Aqua/Eau, Palmitic Acid, Aloe Barbadensis (Aloe Vera) Leaf Juice, Myristic Acid, Potassium Hydroxide, Glycerin, Stearic Acid, Sodium Lauryl Sulfoacetate, Methyl Gluceth-20, Sodium Isostearoyl Lactylate, Cocos Nucifera (Coconut) Oil, Oryza Sativa (Rice) Bran Extract, Cocos Nucifera (Coconut) Water, Helianthus Annuus (Sunflower) Extract, Eucalyptus Globulus Leaf Oil, Mentha Piperita (Peppermint) Oil, Cucumis Sativus (Cucumber) Fruit Extract, Sclerocarya Birrea Seed Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Leuconostoc/Radish Root Ferment Filtrate, Silybum Marianum Fruit Extract, Ocimum Sanctum Leaf Powder, Panthenol, Tocopheryl Acetate, Tocopherol, Phenoxyethanol, Sodium Chloride, Caprylyl Glycol, Sodium Sulfate, Ethylhexylglycerin, Hydroxyethylcellulose, Sodium Benzoate, Menthoxypropanediol, Disodium EDTA, Propanediol, Lauric Acid, Pentaerythrityl Tetra-di-t-Butyl Hydroxyhydrocinnamate, Polyquaternium-7, Dipropylene Glycol, PEG-150 Distearate, Sodium Acetate, Butylene Glycol, Sodium Hydroxide, Limonene",,"Made in the USA, ingredients sourced worldwide",,,[],14250421-9dc9-5667-8bfa-dce0bed079ec,12/19/22
Keep It Handy 6 In 1 Screwdriver,https://www.tesco.com/groceries/en-GB/products/306350566,306350566,05056175945832,1.5,GBP,InStock,"Keep It Handy 6 In 1 Screwdriver. Includes an assortment of crosshead, flathead and hexagonal bits",KEEP IT HANDY,Home & Ents~DIY & Car Care~DIY,https://digitalcontent.api.tesco.com/v2/media/ghs/224f5e16-0cfa-49b4-bd96-4f685f810d30/9f706144-8185-4682-bb1f-11b84633a69c_1605622920.jpeg,3,2,,,,,,,[],d57645ee-e38e-5493-a7b8-174f57e08724,12/19/22
Tesco Belonging Alphabet Mug A,https://www.tesco.com/groceries/en-GB/products/311825087,311825087,05059944642390,3.5,GBP,OutOfStock,"TESCO BLGING ALPHABET MUG A . Alphabet mug available in other letters,Letter A",TESCO HOME,Home & Ents~Cooking & Dining~Tableware,https://digitalcontent.api.tesco.com/v2/media/ghs/dd54cd83-f810-40db-9f40-6f9de5bc7192/4b7a0af6-bbe3-41fb-8c7a-72aafa2169cb_2136050441.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/6250b0ed-2ccc-4743-bc06-cef43a872f52/975eca52-cdbc-43f8-8db9-323925c2f032_199327017.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/9f5d9745-dea2-45fd-8686-e5721e01e46a/5904c783-bf9e-49f7-8628-0d92cfe6a7a6_1463224559.jpeg,,,,,,,,,[],ff10b82f-a1cf-55bf-9537-ce4f80e62f13,12/19/22
Tesco Balti Sauce 500G,https://www.tesco.com/groceries/en-GB/products/252550106,252550106,05050179081091,1,GBP,InStock,A spicy tomato based sauce with onion and green and red peppers.,TESCO,"Food Cupboard~Cooking Sauces, Meal Kits & Sides~Indian",https://digitalcontent.api.tesco.com/v2/media/ghs/4be80839-c141-409e-ab28-9987abd8c97e/2e3a2565-2de3-486a-9610-644f18171307_1189246237.jpeg,3.3,7,Pack size: 500G,,"Store in a cool, dry place.    Once opened, keep refrigerated and consume within 7 days.
    ",,,4 Servings,"[{'Energy': '207kJ / 49kcal'}, {'Fat': '1.3g'}, {'Saturates': '0.2g'}, {'Carbohydrate': '8.1g'}, {'Sugars': '4.2g'}, {'Fibre': '0.9g'}, {'Protein': '0.8g'}, {'Salt': '0.78g'}, {'* Reference intake of an average adult (8400 kJ / 2000 kcal)': '-'}, {'As sold': '-'}]",172713aa-677f-5799-a4d0-b15d47f52755,12/19/22
